community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,release_date,review_link,title
6.9,Okay,"Action-combat game, features seamless animations to match the show it's based on. Jack will move through four realms and 24 levels ranging from a village to a city from the future in Aku's universe, each with interactive backgrounds including sliceable ropes, breakable doors and secret passages. The enemy roster highlights Aku, Mad Jack and the Scotsman among 25 other creatures.

The primarily action-based game arms Jack with 25 signature moves, the ability to hurl shurikens, fire arrows from bows, and utilize four elemental swords. Players can even hand enemies their pink slip on life in a tongue-in-cheek bullet-time mode called ""Sakai Mode."" Created in collaboration with the show's creator, Genndy Tartakovsky, and the original voice cast.",,"Third-Person, Action",5.2,Mediocre,PS2 GCN Xbox,24.99 USD,SEGA,Developers,"Adrenium Games, Amaze Entertainment","March 23, 2004",http://ps2.ign.com/articles/501/501244p1.html,Samurai Jack: The Shadow of Aku
7.9,Good,"Pokemon Colosseum for the Nintendo GameCube is the sequel to the popular Pokemon Stadium series on the N64. Connect your Game Boy Advance to your GameCube in order to battle with over 200 detailed 3D versions of Pokemon from the Sapphire and Ruby GBA games. As well as uploading characters into Colosseum, players are able to load exclusive Pokemon from the GameCube game and take them on the go with the Game Boy Advance. In addition to the tournament battle mode, Colosseum boasts a full adventure mode with a storyline. In this mode, players follow the scent of a mysterious organization that has been turning Pokemon into Dark Pokemon.",Genius Sonority,"Turn-Based, RPG",7.5,Good,GCN,19.99 USD,Nintendo,E for Everyone,Mild Fantasy Violence,"March 22, 2004",http://cube.ign.com/articles/500/500909p1.html,Pokemon Colosseum
8.3,Great,"Squaresoft's legendary

series embarks on a new adventure where players from around the world are able to join forces for a persistent online quest. Gamers will control the fate of Vana'diel as they volunteer for missions to defend its nations and people. Customizable characters allow players to tailor physical attributes and skills to suit individual tastes as they select from five different races and 15 different jobs. Adventures span across 100 different areas such as mountains, deserts, oceans, castles and dungeons, and environments take on a life of their own as time and weather constantly change. As an added bonus, the Japanese expansion pack

has been included free of charge for American audiences.",,"Persistent Online, RPG",8.8,Great,PS2 Xbox 360 PC PC PC PS2,99.99 USD,Sony Computer Entertainment,Developers,"Square Enix, Square Enix","March 23, 2004",http://ps2.ign.com/articles/500/500717p1.html,Final Fantasy XI
8.8,Great,"The game begins under mysterious circumstances where main character John Carver finds himself tied to a chair in the empty, rusted belly of a decrepit cargo ship. Thanks to the help of an unseen stranger, John's restraints are loosened and he sets out to escape his captors. From this point on you are in control of John's destiny. Far Cry offers a variety of ways to approach each challenging situation, where players can choose to rely on firepower, strategy and stealth. An amazing new game engine (the CryENGINE) features breathtaking graphics, highly intelligent computer AI, and a host of other visual effects and technological advancements.",Crytek Studios,"First-Person, Shooter",9.2,Amazing,PC PS3 Xbox 360,39.99 USD,Ubisoft,M for Mature,"Blood, Intense Violence","March 23, 2004",http://pc.ign.com/articles/500/500550p1.html,Far Cry
0.3,Disaster,,Disney Internet Group,Platformer,3.5,Awful,Cell GG GB SMS PC NES SNES Gen Amiga,,Disney Internet Group,,,"Sep 9, 2003",http://wireless.ign.com/articles/503/503363p1.html,The Lion King
6.3,Okay,"The Dawn of Destiny marks the debut of the top-selling Yu-Gi-Oh! franchise on the Xbox. Xbox players can enjoy the unique interactive Yu-Gi-Oh! experience in the only game that brings the rules and gameplay of the popular trading card game to a 3D world. A card battling game at its heart, Yu-Gi-Oh! The Dawn of Destiny thrusts players into the heat of the action where they must duel against challenging foes and powerful monsters. Featuring elaborately rendered 3D graphics, the game brings the monsters from the hit franchise to life before players' eyes. Also available in the Xbox game are over 1,000 Yu-Gi-Oh! cards, including exclusive cards that have never appeared in any other Yu-Gi-Oh! videogame.",Konami Studios,Card,5.0,Mediocre,Xbox,19.99 USD,Konami,E for Everyone,Mild Fantasy Violence,"March 23, 2004",http://xbox.ign.com/articles/503/503519p1.html,Yu-Gi-Oh! The Dawn of Destiny
6.6,Okay,"Throughout three explosive PSone titles, Destruction Derby strapped you into powerful cars and encouraged you to dash and smash your way to the chequered flag. At long last, the PS2 offspring rumbles out of the pits and as well as being a highly polished, purring powerhouse of stock-car action, you can take on the world thanks to the online multiplayer option. DDA is the WWE of racing games with over-the-top drivers, muscle-bound motors and insane tracks. Race to the finish or smash the opposition to pieces, but whichever you choose you can kiss goodbye to your No Claims Bonus. Features 20 fully deformable and customisable low-riding cars, a huge range of unlockable characters, four-player split-screen battles, and up to 20 players online via broadband connection.",,Racing,4.5,Bad,PS2,19.99 USD,Global Star,Developers,"Studio 33, SIE Europe","March 29, 2004",http://ps2.ign.com/articles/502/502914p1.html,Destruction Derby Arenas
7.6,Good,"First-person roleplaying game, originally released for PC. Arx is the name of an underground urban environment where the player's adventure begins: in the realm of medieval fantasy. Be prepared to enter a world where the sun has slowly retreated and completely vanished. A world taken over by an unfriendly and threatening atmosphere, imposing the exodus of Arx inhabitants to the obscure meanders of a dwarf mine in order to survive. Arx Fatalis offers a number of interactions with objects and NPCs, realistic action fights, a unique real-time spell casting system, character creation, dialogues, puzzles and countless environments to explore.",,"First-Person, RPG",7.8,Good,Xbox PC,12.99 USD,DreamCatcher Interactive,Developers,"Arkane Studios, Wizarbox","Nov 14, 2003",http://xbox.ign.com/articles/503/503628p1.html,Arx Fatalis
,,,,Puzzle,8.5,Great,Cell,,Atlas Mobile,Developers,"Skunk Studios, Atlas Mobile","Mar 1, 2004",http://wireless.ign.com/articles/503/503356p1.html,QBz for Prizes!
6.8,Okay,"This classic platformer (before there were platformers) starred a miner that explored caves, looking for treasure -- but all he finds are trouble from a group of evil monks. Because the Runner has no weapons, he must dig holes for the monks to tumble into. In time, the holes fill up, trapping the bad guys -- provided they don't scurry out quickly. This updated version for cell phones trades in the old Apple IIe visuals for something a little more bright and colorful. The Runner is back, and his mission is the same -- capture treasure while digging pits that will hopefully swallow up your pursuers.",FT Mobile,Action,9.0,Amazing,Cell Mac iPod NES 7800 C64 400/800 Apple-II Cell Wii Wii U PC PS MSX2,,Hudson Soft,,,"Apr 1, 2004",http://wireless.ign.com/articles/503/503354p1.html,Lode Runner
